54,54,17,0,0.9646666666666667,0.1,-10.013003099999999,7,-0.5890001823529412,0.4117647058823529,-10.0130031,7,-0.589000182353,0.411764705882
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
54,54,18,0,0.964,0.1,-11.013003099999999,7,-0.6118335055555555,0.3888888888888889,-11.0130031,7,-0.611833505556,0.388888888889
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
55,55,18,0,0.964,0.1,-11.013003099999999,7,-0.6118335055555555,0.3888888888888889,-11.0130031,7,-0.611833505556,0.388888888889
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
56,56,18,0,0.9633333333333334,0.1,-11.013003099999999,7,-0.6118335055555555,0.3888888888888889,-11.0130031,7,-0.611833505556,0.388888888889
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
57,57,18,0,0.9626666666666667,0.1,-11.013003099999999,7,-0.6118335055555555,0.3888888888888889,-11.0130031,7,-0.611833505556,0.388888888889
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
57,57,19,0,0.962,0.1,-12.013003099999999,7,-0.6322633210526315,0.3684210526315789,-12.0130031,7,-0.632263321053,0.368421052632
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
58,58,19,0,0.962,0.1,-12.013003099999999,7,-0.6322633210526315,0.3684210526315789,-12.0130031,7,-0.632263321053,0.368421052632
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
59,59,19,0,0.9613333333333334,0.1,-12.013003099999999,7,-0.6322633210526315,0.3684210526315789,-12.0130031,7,-0.632263321053,0.368421052632
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
60,60,19,0,0.9606666666666667,0.1,-12.013003099999999,7,-0.6322633210526315,0.3684210526315789,-12.0130031,7,-0.632263321053,0.368421052632
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
60,60,20,0,0.96,0.1,-13.013003099999999,7,-0.6506501549999999,0.35,-13.0130031,7,-0.650650155,0.35
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
61,61,20,0,0.96,0.1,-13.013003099999999,7,-0.6506501549999999,0.35,-13.0130031,7,-0.650650155,0.35
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
62,62,20,0,0.9593333333333334,0.1,-13.013003099999999,7,-0.6506501549999999,0.35,-13.0130031,7,-0.650650155,0.35
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
63,63,20,0,0.9586666666666667,0.1,-13.013003099999999,7,-0.6506501549999999,0.35,-13.0130031,7,-0.650650155,0.35
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
63,63,21,0,0.958,0.1,-12.973702789999999,8,-0.6177953709523809,0.38095238095238093,-12.97370279,8,-0.617795370952,0.380952380952
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
64,64,21,0,0.958,0.1,-12.973702789999999,8,-0.6177953709523809,0.38095238095238093,-12.97370279,8,-0.617795370952,0.380952380952
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
65,65,21,0,0.9573333333333334,0.1,-12.973702789999999,8,-0.6177953709523809,0.38095238095238093,-12.97370279,8,-0.617795370952,0.380952380952
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
66,66,21,0,0.9566666666666667,0.1,-12.973702789999999,8,-0.6177953709523809,0.38095238095238093,-12.97370279,8,-0.617795370952,0.380952380952
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
66,66,22,0,0.956,0.1,-13.973702789999999,8,-0.6351683086363636,0.36363636363636365,-13.97370279,8,-0.635168308636,0.363636363636
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
67,67,22,0,0.956,0.1,-13.973702789999999,8,-0.6351683086363636,0.36363636363636365,-13.97370279,8,-0.635168308636,0.363636363636
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
68,68,22,0,0.9553333333333334,0.1,-13.973702789999999,8,-0.6351683086363636,0.36363636363636365,-13.97370279,8,-0.635168308636,0.363636363636
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
