main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=6000, eps_start=1.0, frames=45000, games=500, gamma=1.0, log_interval=1, lr=0, model=None, save_interval=1, seed=7)

Environments loaded

Training status loaded

U 3 | F 3 | G 1 | D 0 | EPS 1.000 | L 0.000 | R 1.000 | Avg L 0.000 | Avg R 1.000
U 148 | F 148 | G 49 | D 0 | EPS 0.976 | L -27.000 | R 22.000 | Avg L -0.551 | Avg R 0.449
U 149 | F 149 | G 49 | D 0 | EPS 0.975 | L -27.000 | R 22.000 | Avg L -0.551 | Avg R 0.449
U 150 | F 150 | G 49 | D 0 | EPS 0.975 | L -27.000 | R 22.000 | Avg L -0.551 | Avg R 0.449
U 150 | F 150 | G 50 | D 0 | EPS 0.975 | L -28.000 | R 22.000 | Avg L -0.560 | Avg R 0.440
U 151 | F 151 | G 50 | D 0 | EPS 0.975 | L -28.000 | R 22.000 | Avg L -0.560 | Avg R 0.440
U 152 | F 152 | G 50 | D 0 | EPS 0.975 | L -28.000 | R 22.000 | Avg L -0.560 | Avg R 0.440
U 153 | F 153 | G 50 | D 0 | EPS 0.975 | L -28.000 | R 22.000 | Avg L -0.560 | Avg R 0.440
U 153 | F 153 | G 51 | D 0 | EPS 0.975 | L -28.000 | R 23.000 | Avg L -0.549 | Avg R 0.451
U 154 | F 154 | G 51 | D 0 | EPS 0.975 | L -28.000 | R 23.000 | Avg L -0.549 | Avg R 0.451
U 155 | F 155 | G 51 | D 0 | EPS 0.974 | L -28.000 | R 23.000 | Avg L -0.549 | Avg R 0.451
U 156 | F 156 | G 51 | D 0 | EPS 0.974 | L -28.000 | R 23.000 | Avg L -0.549 | Avg R 0.451
U 156 | F 156 | G 52 | D 0 | EPS 0.974 | L -28.000 | R 24.000 | Avg L -0.538 | Avg R 0.462
U 157 | F 157 | G 52 | D 0 | EPS 0.974 | L -28.000 | R 24.000 | Avg L -0.538 | Avg R 0.462
U 158 | F 158 | G 52 | D 0 | EPS 0.974 | L -28.000 | R 24.000 | Avg L -0.538 | Avg R 0.462
U 159 | F 159 | G 52 | D 0 | EPS 0.974 | L -28.000 | R 24.000 | Avg L -0.538 | Avg R 0.462
U 159 | F 159 | G 53 | D 0 | EPS 0.974 | L -28.000 | R 25.000 | Avg L -0.528 | Avg R 0.472
U 160 | F 160 | G 53 | D 0 | EPS 0.974 | L -28.000 | R 25.000 | Avg L -0.528 | Avg R 0.472
U 161 | F 161 | G 53 | D 0 | EPS 0.973 | L -28.000 | R 25.000 | Avg L -0.528 | Avg R 0.472
