update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
169,169,11,0,0.9626666666666667,6.1819999999999995,6,0.03657988165680473,0.5454545454545454,6.182,6,0.0365798816568,0.545454545455
170,170,11,0,0.9624444444444444,6.1628,6,0.03625176470588235,0.5454545454545454,6.1628,6,0.0362517647059,0.545454545455
171,171,11,0,0.9622222222222222,6.2528,6,0.036566081871345024,0.5454545454545454,6.2528,6,0.0365660818713,0.545454545455
172,172,11,0,0.962,6.2428,6,0.0362953488372093,0.5454545454545454,6.2428,6,0.0362953488372,0.545454545455
173,173,11,0,0.9617777777777777,6.2428,6,0.036085549132947974,0.5454545454545454,6.2428,6,0.0360855491329,0.545454545455
174,174,11,0,0.9615555555555555,6.2428,6,0.03587816091954023,0.5454545454545454,6.2428,6,0.0358781609195,0.545454545455
175,175,11,0,0.9613333333333334,6.2428,6,0.035673142857142855,0.5454545454545454,6.2428,6,0.0356731428571,0.545454545455
176,176,11,0,0.9611111111111111,6.2428,6,0.03547045454545455,0.5454545454545454,6.2428,6,0.0354704545455,0.545454545455
177,177,11,0,0.9608888888888889,6.2428,6,0.03527005649717514,0.5454545454545454,6.2428,6,0.0352700564972,0.545454545455
178,178,11,0,0.9606666666666667,6.2428,6,0.03507191011235955,0.5454545454545454,6.2428,6,0.0350719101124,0.545454545455
179,179,11,0,0.9604444444444444,6.2428,6,0.034875977653631283,0.5454545454545454,6.2428,6,0.0348759776536,0.545454545455
180,180,12,0,0.9602222222222222,6.3328,6,0.03518222222222222,0.5,6.3328,6,0.0351822222222,0.5
181,181,12,0,0.96,6.2428,6,0.03449060773480663,0.5,6.2428,6,0.0344906077348,0.5
182,182,12,0,0.9597777777777777,6.2518,6,0.03435054945054945,0.5,6.2518,6,0.0343505494505,0.5
183,183,12,0,0.9595555555555556,6.2428,6,0.03411366120218579,0.5,6.2428,6,0.0341136612022,0.5
184,184,12,0,0.9593333333333334,6.2428,6,0.03392826086956522,0.5,6.2428,6,0.0339282608696,0.5
185,185,12,0,0.9591111111111111,6.2428,6,0.03374486486486487,0.5,6.2428,6,0.0337448648649,0.5
186,186,12,0,0.9588888888888889,6.2428,6,0.03356344086021505,0.5,6.2428,6,0.0335634408602,0.5
187,187,12,0,0.9586666666666667,6.2428,6,0.03338395721925134,0.5,6.2428,6,0.0333839572193,0.5
188,188,12,0,0.9584444444444444,6.2428,6,0.0332063829787234,0.5,6.2428,6,0.0332063829787,0.5
189,189,12,0,0.9582222222222222,6.2428,6,0.03303068783068783,0.5,6.2428,6,0.0330306878307,0.5
