main.py --seed 7

Namespace(algo='q-learning', convg=1e-05, env='tokens-v0', eps_final=0.001, eps_frames=1500, eps_start=1.0, frames=30000, games=500, gamma=1.0, log_interval=1, lr=0.1, model=None, save_interval=1, seed=7)

Environments loaded

Training status loaded

U 114 | F 114 | G 37 | D 0 | EPS 0.925 | LR 0.08870 | L -22.524 | R 14.000 | Avg L -0.609 | Avg R 0.378
U 114 | F 114 | G 38 | D 0 | EPS 0.924 | LR 0.08860 | L -22.524 | R 15.000 | Avg L -0.593 | Avg R 0.395
U 115 | F 115 | G 38 | D 0 | EPS 0.924 | LR 0.08860 | L -22.524 | R 15.000 | Avg L -0.593 | Avg R 0.395
U 116 | F 116 | G 38 | D 0 | EPS 0.923 | LR 0.08850 | L -22.524 | R 15.000 | Avg L -0.593 | Avg R 0.395
U 117 | F 117 | G 38 | D 0 | EPS 0.923 | LR 0.08840 | L -22.524 | R 15.000 | Avg L -0.593 | Avg R 0.395
U 117 | F 117 | G 39 | D 0 | EPS 0.922 | LR 0.08830 | L -22.524 | R 16.000 | Avg L -0.578 | Avg R 0.410
U 118 | F 118 | G 39 | D 0 | EPS 0.922 | LR 0.08830 | L -22.524 | R 16.000 | Avg L -0.578 | Avg R 0.410
U 119 | F 119 | G 39 | D 0 | EPS 0.921 | LR 0.08820 | L -22.524 | R 16.000 | Avg L -0.578 | Avg R 0.410
U 120 | F 120 | G 39 | D 0 | EPS 0.921 | LR 0.08810 | L -22.524 | R 16.000 | Avg L -0.578 | Avg R 0.410
U 120 | F 120 | G 40 | D 0 | EPS 0.920 | LR 0.08800 | L -23.516 | R 16.000 | Avg L -0.588 | Avg R 0.400
U 121 | F 121 | G 40 | D 0 | EPS 0.920 | LR 0.08800 | L -23.516 | R 16.000 | Avg L -0.588 | Avg R 0.400
U 122 | F 122 | G 40 | D 0 | EPS 0.919 | LR 0.08790 | L -23.516 | R 16.000 | Avg L -0.588 | Avg R 0.400
U 123 | F 123 | G 40 | D 0 | EPS 0.919 | LR 0.08780 | L -23.516 | R 16.000 | Avg L -0.588 | Avg R 0.400
U 123 | F 123 | G 41 | D 0 | EPS 0.918 | LR 0.08770 | L -23.516 | R 17.000 | Avg L -0.574 | Avg R 0.415
U 124 | F 124 | G 41 | D 0 | EPS 0.918 | LR 0.08770 | L -23.516 | R 17.000 | Avg L -0.574 | Avg R 0.415
U 125 | F 125 | G 41 | D 0 | EPS 0.917 | LR 0.08760 | L -23.516 | R 17.000 | Avg L -0.574 | Avg R 0.415
U 126 | F 126 | G 41 | D 0 | EPS 0.917 | LR 0.08750 | L -23.516 | R 17.000 | Avg L -0.574 | Avg R 0.415
U 126 | F 126 | G 42 | D 0 | EPS 0.916 | LR 0.08740 | L -23.472 | R 18.000 | Avg L -0.559 | Avg R 0.429
U 127 | F 127 | G 42 | D 0 | EPS 0.916 | LR 0.08740 | L -23.472 | R 18.000 | Avg L -0.559 | Avg R 0.429
U 128 | F 128 | G 42 | D 0 | EPS 0.915 | LR 0.08730 | L -23.472 | R 18.000 | Avg L -0.559 | Avg R 0.429
U 129 | F 129 | G 42 | D 0 | EPS 0.915 | LR 0.08720 | L -23.472 | R 18.000 | Avg L -0.559 | Avg R 0.429
U 129 | F 129 | G 43 | D 0 | EPS 0.914 | LR 0.08710 | L -23.397 | R 19.000 | Avg L -0.544 | Avg R 0.442
U 130 | F 130 | G 43 | D 0 | EPS 0.914 | LR 0.08710 | L -23.397 | R 19.000 | Avg L -0.544 | Avg R 0.442
U 131 | F 131 | G 43 | D 0 | EPS 0.913 | LR 0.08700 | L -23.397 | R 19.000 | Avg L -0.544 | Avg R 0.442
U 132 | F 132 | G 43 | D 0 | EPS 0.913 | LR 0.08690 | L -23.397 | R 19.000 | Avg L -0.544 | Avg R 0.442
U 132 | F 132 | G 44 | D 0 | EPS 0.912 | LR 0.08680 | L -24.474 | R 19.000 | Avg L -0.556 | Avg R 0.432
U 133 | F 133 | G 44 | D 0 | EPS 0.912 | LR 0.08680 | L -24.474 | R 19.000 | Avg L -0.556 | Avg R 0.432
