main.py --seed 7

Namespace(algo='q-learning', convg=0.01, env='tokens-v0', frames=3000, games=500, log_interval=1, lr=0.01, model=None, save_interval=30, seed=7)

Environments loaded

Training status loaded

U 459 | F 459 | G 30 | D 0 | EPS 0.389
U 460 | F 460 | G 30 | D 0 | EPS 0.388
U 461 | F 461 | G 30 | D 0 | EPS 0.387
U 462 | F 462 | G 30 | D 0 | EPS 0.385
U 463 | F 463 | G 30 | D 0 | EPS 0.384
U 464 | F 464 | G 30 | D 0 | EPS 0.383
U 465 | F 465 | G 31 | D 0 | EPS 0.381
U 466 | F 466 | G 31 | D 0 | EPS 0.380
U 467 | F 467 | G 31 | D 0 | EPS 0.379
U 468 | F 468 | G 31 | D 0 | EPS 0.377
U 469 | F 469 | G 31 | D 0 | EPS 0.376
U 470 | F 470 | G 31 | D 0 | EPS 0.375
U 471 | F 471 | G 31 | D 0 | EPS 0.373
U 472 | F 472 | G 31 | D 0 | EPS 0.372
U 473 | F 473 | G 31 | D 0 | EPS 0.371
U 474 | F 474 | G 31 | D 0 | EPS 0.369
U 475 | F 475 | G 31 | D 0 | EPS 0.368
U 476 | F 476 | G 31 | D 0 | EPS 0.367
U 477 | F 477 | G 31 | D 0 | EPS 0.365
U 478 | F 478 | G 31 | D 0 | EPS 0.364
U 479 | F 479 | G 31 | D 0 | EPS 0.363
U 480 | F 480 | G 32 | D 0 | EPS 0.361
U 481 | F 481 | G 32 | D 0 | EPS 0.360
U 482 | F 482 | G 32 | D 0 | EPS 0.359
U 483 | F 483 | G 32 | D 0 | EPS 0.357
U 484 | F 484 | G 32 | D 0 | EPS 0.356
U 485 | F 485 | G 32 | D 0 | EPS 0.355
U 486 | F 486 | G 32 | D 0 | EPS 0.353
U 487 | F 487 | G 32 | D 0 | EPS 0.352
U 488 | F 488 | G 32 | D 0 | EPS 0.351
U 489 | F 489 | G 32 | D 0 | EPS 0.349
U 490 | F 490 | G 32 | D 0 | EPS 0.348
U 491 | F 491 | G 32 | D 0 | EPS 0.347
U 492 | F 492 | G 32 | D 0 | EPS 0.345
U 493 | F 493 | G 32 | D 0 | EPS 0.344
U 494 | F 494 | G 32 | D 0 | EPS 0.343
U 495 | F 495 | G 33 | D 0 | EPS 0.341
U 496 | F 496 | G 33 | D 0 | EPS 0.340
U 497 | F 497 | G 33 | D 0 | EPS 0.339
